Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2020,185300.0,1222910.0,6599.6,6599.622234214788
Bolivia (Plurinational State of),2020,176516.0,487427.0,2761.4,2761.3757393097508
Brazil,2020,1677705.0,11091011.0,6610.8,6610.823118486265
Chile,2020,26394.0,169697.0,6429.4,6429.377888914148
Colombia,2020,656000.0,3038500.0,4631.9,4631.859756097561
Ecuador,2020,312900.0,1072400.0,3427.3,3427.2930648769575
Guyana,2020,185500.0,1057600.0,5701.3,5701.347708894879
Paraguay,2020,180000.0,1187768.0,6598.7,6598.711111111111
Peru,2020,416910.0,3434199.0,8237.3,8237.267036050946
Suriname,2020,57838.0,249836.0,4319.6,4319.582281545005
Uruguay,2020,140300.0,1209000.0,8617.2,8617.248752672844
Venezuela (Bolivarian Republic of),2020,173347.0,704531.0,4064.3,4064.281470114857
Argentina,2021,199993.0,1453187.0,7266.2,7266.189316626082
Bolivia (Plurinational State of),2021,178744.0,550181.52,3078.0,3078.041892315267
Brazil,2021,1689190.0,11660605.0,6903.1,6903.074846524074
Chile,2021,22965.0,146085.1,6361.2,6361.206183322447
Colombia,2021,665200.0,2980400.0,4480.5,4480.457005411906
Ecuador,2021,340300.0,1207000.0,3546.9,3546.870408463121
Guyana,2021,155800.0,860000.0,5519.9,5519.8973042362
Paraguay,2021,178000.0,1180600.0,6632.6,6632.584269662921
Peru,2021,425109.0,3538443.59,8323.6,8323.614861129734
Suriname,2021,56861.0,263749.0,4638.5,4638.486836320149
Uruguay,2021,139300.0,1309000.0,9397.0,9396.984924623115
Venezuela (Bolivarian Republic of),2021,167767.0,717000.0,4273.8,4273.784474896732
Argentina,2022,186070.0,1222426.0,6569.7,6569.710324071586
Bolivia (Plurinational State of),2022,203217.0,608680.66,2995.2,2995.22510419896
Brazil,2022,1623420.0,10776268.0,6638.0,6638.003720540588
Chile,2022,20712.0,100557.0,4855.0,4855.0115874855155
Colombia,2022,563300.0,2608500.0,4630.7,4630.747381501864
Ecuador,2022,337800.0,1252800.0,3708.7,3708.703374777975
Guyana,2022,154200.0,929600.0,6028.5,6028.5343709468225
Paraguay,2022,205744.0,975069.0,4739.2,4739.234193949763
Peru,2022,413108.0,3439013.38,8324.7,8324.73198291972
Suriname,2022,48960.0,184235.0,3763.0,3762.96977124183
Uruguay,2022,152100.0,1397900.0,9190.7,9190.664036817883
Venezuela (Bolivarian Republic of),2022,235306.0,729000.0,3098.1,3098.093546275913
Argentina,2023,173002.0,1163209.0,6723.7,6723.673714754742
Bolivia (Plurinational State of),2023,208226.0,698543.58,3354.7,3354.7375447830723
Brazil,2023,1482748.0,10285663.0,6936.9,6936.892175878842
Chile,2023,17945.0,109232.5,6087.1,6087.0716076901645
Colombia,2023,667500.0,3006100.0,4503.5,4503.520599250936
Ecuador,2023,343050.0,1313000.0,3827.4,3827.4304037312345
Guyana,2023,162801.0,995000.0,6111.8,6111.756070294408
Paraguay,2023,170100.0,978450.0,5752.2,5752.204585537918
Peru,2023,417103.0,3367614.31,8073.8,8073.819440282136
Suriname,2023,49808.0,203155.93,4078.8,4078.781119498876
Uruguay,2023,147000.0,1372700.0,9338.1,9338.095238095239
Venezuela (Bolivarian Republic of),2023,192541.0,722370.07,3751.8,3751.772713344171
